model_name,dataset,model_type,attack,clean_acc,adv_acc,dropped_percentage,attack_time,num_samples
cifar10_resnet20,CIFAR10,Original,FGSM,92.0,49.0,46.7,0.5,100
cifar10_resnet20,CIFAR10,Original,PGD,92.0,44.0,52.2,6.4,100
cifar10_resnet20,CIFAR10,Original,BIM,92.0,44.0,52.2,4.8,100
cifar10_resnet20,CIFAR10,Original,MEA,92.0,45.0,51.1,12.2,100
cifar10_resnet20,CIFAR10,Original,WEA,92.0,45.0,51.1,12.3,100
cifar10_resnet20,CIFAR10,Distilled,FGSM,82.0,43.0,47.6,0.5,100
cifar10_resnet20,CIFAR10,Distilled,PGD,82.0,37.0,54.9,7.3,100
cifar10_resnet20,CIFAR10,Distilled,BIM,82.0,37.0,54.9,5.0,100
cifar10_resnet20,CIFAR10,Distilled,MEA,82.0,39.0,52.4,14.3,100
cifar10_resnet20,CIFAR10,Distilled,WEA,82.0,40.0,51.2,12.5,100
cifar10_resnet32,CIFAR10,Original,FGSM,95.0,47.0,50.5,0.9,100
cifar10_resnet32,CIFAR10,Original,PGD,95.0,42.0,55.8,12.3,100
cifar10_resnet32,CIFAR10,Original,BIM,95.0,42.0,55.8,8.0,100
cifar10_resnet32,CIFAR10,Original,MEA,95.0,42.0,55.8,20.8,100
cifar10_resnet32,CIFAR10,Original,WEA,95.0,43.0,54.7,21.7,100
cifar10_resnet32,CIFAR10,Distilled,FGSM,79.0,42.0,46.8,1.9,100
cifar10_resnet32,CIFAR10,Distilled,PGD,79.0,40.0,49.4,12.0,100
cifar10_resnet32,CIFAR10,Distilled,BIM,79.0,40.0,49.4,7.6,100
cifar10_resnet32,CIFAR10,Distilled,MEA,79.0,40.0,49.4,23.2,100
cifar10_resnet32,CIFAR10,Distilled,WEA,79.0,40.0,49.4,25.0,100
cifar10_resnet44,CIFAR10,Original,FGSM,93.0,52.0,44.1,1.1,100
cifar10_resnet44,CIFAR10,Original,PGD,93.0,49.0,47.3,16.2,100
cifar10_resnet44,CIFAR10,Original,BIM,93.0,49.0,47.3,13.3,100
cifar10_resnet44,CIFAR10,Original,MEA,93.0,49.0,47.3,28.0,100
cifar10_resnet44,CIFAR10,Original,WEA,93.0,50.0,46.2,27.6,100
cifar10_resnet44,CIFAR10,Distilled,FGSM,79.0,45.0,43.0,1.3,100
cifar10_resnet44,CIFAR10,Distilled,PGD,79.0,40.0,49.4,15.9,100
cifar10_resnet44,CIFAR10,Distilled,BIM,79.0,40.0,49.4,11.6,100
cifar10_resnet44,CIFAR10,Distilled,MEA,79.0,42.0,46.8,76.4,100
cifar10_resnet44,CIFAR10,Distilled,WEA,79.0,42.0,46.8,60.8,100
cifar10_resnet56,CIFAR10,Original,FGSM,96.0,56.0,41.7,3.2,100
cifar10_resnet56,CIFAR10,Original,PGD,96.0,53.0,44.8,33.7,100
