model,attack,clean_acc,adv_acc,acc_drop,attack_time_s,num_samples
cifar10_resnet20,MEA,92.67,46.67,46.0,13.92,150
cifar10_resnet20,WEA,92.67,46.67,46.0,13.75,150
cifar10_resnet32,MEA,94.67,44.67,50.0,15.34,150
cifar10_resnet32,WEA,94.67,44.67,50.0,15.2,150
cifar10_resnet44,MEA,93.33,51.33,42.0,16.7,150
cifar10_resnet44,WEA,93.33,51.33,42.0,16.56,150
cifar10_resnet56,MEA,95.33,55.33,40.0,19.99,150
cifar10_resnet56,WEA,95.33,56.0,39.33,20.18,150
cifar10_mobilenetv2_x1_4,MEA,92.0,50.0,42.0,39.92,150
cifar10_mobilenetv2_x1_4,WEA,92.0,50.0,42.0,40.55,150
cifar10_vgg16_bn,MEA,94.67,54.67,40.0,26.03,150
cifar10_vgg16_bn,WEA,94.67,54.67,40.0,26.89,150
cifar10_vgg11_bn,MEA,94.0,51.33,42.67,18.58,150
cifar10_vgg11_bn,WEA,94.0,51.33,42.67,18.65,150
